"ID","ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
3588,52,"nariño",52696,"santa barbara (iscuande)",52696014,"la ensenada (santa barbara (iscuande) - nariño)",2020,9,3089,4149,191,"miercoles","2020-09-30T19:45",6.3
3589,52,"nariño",52696,"santa barbara (iscuande)",52696017,"santa rita (santa barbara (iscuande) - nariño)",2020,9,5262,2840,3444,"miercoles","2020-09-30T18:45",6.24
3590,86,"putumayo",86573,"puerto leguizamo",86573009,"piñuña negro (puerto leguizamo - putumayo)",2020,9,3217,1862,256,"sabado","2020-09-26T20:15",5.42
3591,86,"putumayo",86573,"puerto leguizamo",86573000,"puerto leguizamo (puerto leguizamo - putumayo)",2020,9,164425,62119,35660,"miercoles","2020-09-16T18:15",23.2
3592,76,"valle del cauca",76109,"buenaventura",76109028,"puerto merizalde (buenaventura - valle del cauca)",2020,9,51724,18368,25731,"martes","2020-09-22T19:45",7.48
3593,76,"valle del cauca",76109,"buenaventura",76109032,"san francisco naya (buenaventura - valle del cauca)",2020,9,5809,2156,2806,"domingo","2020-09-27T23:45",8.19
3594,97,"vaupes",97161,"caruru",97161000,"caruru (caruru - vaupes)",2020,9,16853,4402,7181,"sabado","2020-09-12T19:45",11.5
3595,97,"vaupes",97001,"mitu",97001000,"mitu (mitu - vaupes)",2020,9,164425,62119,35660,"viernes","2020-09-18T23:30",24
3596,97,"vaupes",97666,"taraira",97666000,"taraira (taraira - vaupes)",2020,9,17890,5788,11634,"martes","2020-09-08T18:45",6.38
3597,99,"vichada",99773,"cumaribo",99773000,"cumaribo (cumaribo - vichada)",2020,9,164425,62119,35660,"martes","2020-09-22T14:30",23.57
3598,99,"vichada",99524,"la primavera",99524000,"la primavera (la primavera - vichada)",2020,9,164425,62119,35660,"lunes","2020-09-21T18:00",23.55
3599,99,"vichada",99001,"puerto carreño",99001002,"casuarito (puerto carreño - vichada)",2020,9,21534,8067,10366,"viernes","2020-09-04T19:15",8.49
3600,99,"vichada",99001,"puerto carreño",99001000,"puerto carreño (puerto carreño - vichada)",2020,9,164425,62119,4026,"lunes","2020-09-14T14:30",24
3601,99,"vichada",99624,"santa rosalia",99624000,"santa rosalia (santa rosalia - vichada)",2020,9,110554,54151,35660,"viernes","2020-09-11T19:00",14.51
3602,91,"amazonas",91001,"leticia",91001000,"leticia (leticia - amazonas)",2020,8,164425,62119,35660,"jueves","2020-08-20T15:15",24
3603,91,"amazonas",91540,"puerto nariño",91540000,"puerto nariño (puerto nariño - amazonas)",2020,8,98690,38477,20574,"domingo","2020-08-02T18:45",23.49
3604,91,"amazonas",91798,"tarapaca (anm)",91798000,"tarapaca (tarapaca (anm) - amazonas)",2020,8,21748,9352,8281,"lunes","2020-08-31T18:30",10.15
3605,5,"antioquia",5873,"vigia del fuerte",5873001,"san antonio de padua (vigia del fuerte - antioquia)",2020,8,3999,1456,3251,"jueves","2020-08-13T18:45",4.54
3606,5,"antioquia",5873,"vigia del fuerte",5873002,"vegaez (vigia del fuerte - antioquia)",2020,8,2993,503,3942,"lunes","2020-08-31T18:45",4.44
3607,5,"antioquia",5873,"vigia del fuerte",5873000,"vigia del fuerte (vigia del fuerte - antioquia)",2020,8,92842,23194,27738,"martes","2020-08-04T19:45",12.39
3608,88,"archipielago de san andres, providencia y santa catalina",88564,"providencia",88564000,"providencia (providencia - archipielago de san andres y providencia)",2020,8,164425,62119,35660,"lunes","2020-08-31T14:30",24
